sport,location,fantasyOrReal,appropriate,keywords,playerName,generatedNames,rating
volleyball,Detroit,real,yes,dragon,Lionel Messi,"Detroit Dragon Diggers
Messi's Dragon Setters
Detroit Volley Dragons
Motown Spike Artists
Lionel's Lifted Nets",3
volleyball,Miami,fantasy,yes,steel,Lionel Messi,"Miami Mesh Messis
Steel Spike Squad
Messi's Magic Mounds
Volleyball Vortex of Messi
Miami's Steel Setters",3
football,New York,fantasy,yes,ice,Serena Williams,"New York Ice Queens
Serena's Frosted Fielders
New York Chill Chasers
Serena's Snowball Squad
Icecapades of Serena",2
baseball,Detroit,fantasy,yes,clutch,Connor McDavid,"Detroit Clutch Cats
McDavid's Diamond Dwellers
Motor City Swingers
Connor's Clutch Crew
Detroit Double Playmakers",2
wrestling,New York,fantasy,yes,ice,Shohei Ohtani,"New York Ice Titans
Shohei's Frosty Grapplers
Chilly Ohtani Challengers
New York Slapshot Sumo
Ohtani's Frostbite Fighters",4
basketball,Texas,real,no,dunk,Sidney Crosby,"Texas Dunkin' Doinks
Crosby's Rim Rattlers
Texas Trash Talkers
Hoop Humpers of Texas
Sid's Slammin' Shenanigans",3
hockey,Boston,real,no,dunk,none,"Boston Puck Sluts
Boston Ice F**kers
Boston Nutshots
Boston Slapshot Sinners
Boston D*ck Dunkers",3
lacrosse,Texas,real,no,clutch,Michael Jordan,"Texas Laxholes
Michael Jordan's Jerk-offs
Lacrosse Cocksmiths
Texas Clutch Kickers
Sackless Mavericks",3
lacrosse,New York,real,no,dragon,Lionel Messi,"New York Lax Legends
Dragon Dicks
Messi's Mischief Makers
Big Apple Ball Busters
New York Nasty Knights",1
hockey,none,real,yes,shadow,none,"Shadow Shredders
Dark Ice Drifters
Midnight Blades
Stealthy Stickhandlers
Phantom Pucksters",4
baseball,Denver,fantasy,no,shadow,Sidney Crosby,"Denver Crosby's Shadows
Crosby Crankers
Shadowy Sidelines
Denver Dinger Deliverers
Crosby's Dark Knights",4
hockey,Denver,real,no,fire,Michael Jordan,"Denver Dick Flames
Fireball F***ers
Mile High Muff Divers
Avalanche of Ass
Jordan's Jerk-offs",3
football,Detroit,real,no,no,Tom Brady,"Detroit Brady Bunchers
Motor City Nut Huggers
Detroit Gridiron Gaggers
Brady's Bawdy Blitzers
Detroit End Zone Enforcers",2
hockey,Texas,real,no,steel,Tiger Woods,"Texas Puck F***ers
Tiger's Steel Slappers
Texas Ice Tits
Steel City Suckers
Texas Slapshot Shaggers",1
golf,Atlanta,real,no,shadow,Shohei Ohtani,"Atlanta Shadow Slicers
Atlanta Ohtani's Ouchies
Atlanta Par-Tee Animals
Atlanta Fairway Funnies
Atlanta Rough Riders",2
golf,Seattle,fantasy,yes,dragon,Shohei Ohtani,"Seattle Shohei Swingers
Dragon’s Breath Drivers
Ohtani’s Fairway Flames
Emerald Dragon Duffs
Seattle Tee-rific Dragons",3
basketball,Seattle,real,no,no,Sidney Crosby,"Seattle Sid's Slammers
Rain City Rim Wreckers
Emerald City Crosby Crushers
Puget Sound Throat Slashers
Seattle Basket Cases",2
hockey,Atlanta,fantasy,no,fire,none,"Atlanta Fireballers
Atlanta Puck F*ckers
Atlanta Heat Seekers
Atlanta Ice Holes
Atlanta Raging Blazers",4
football,Chicago,real,yes,storm,LeBron James,"Chicago Storm Chasers
LeBron’s Windy City Blitz
Chicago Tempest Tacklers
Windy City Thunderbolts
LeBron's Lightning Strikers",3
soccer,Chicago,fantasy,yes,blitz,LeBron James,"Chicago LeBron Blitzers
Chicago Jammin' Jackals
Blitzing LeBronauts
Chicago Goalbound Gladiators
LeBron's Windy City Wizards",4
soccer,Atlanta,real,yes,shadow,LeBron James,"Atlanta Shadow Strikers
LeBron's Atlanta Specters
Atlanta Phantom Kicks
Shadowy Soccer Kings
Atlanta LeBron's Lurkers",3
wrestling,none,fantasy,yes,clutch,Michael Jordan,"Jordan's Juggernauts
Clutch Kingdom Grapplers
Michael's Mismatch Masters
Air Jordan's Mat Avengers
Sky-High Slam Artists",4
baseball,Denver,real,yes,no,Tom Brady,"Denver Brady Bats
Mile High Muggles
Rocky Mountain Sluggers
Brady's Bases Loaded
Denver Diamond Dwellers",2
baseball,Chicago,real,no,dunk,none,"Chicago Dunkin' Dicks
Windy City Wankers
Chi-Town Crotch Crushers
Lakefront Lickin' Legends
Midway Maulers",3
football,Seattle,fantasy,no,no,Tiger Woods,"Seattle Woodshed Whackers
Tiger's Turf Terrors
Sackin' Woods Wonders
Emerald City End Zone Euphoria
Prowling Woods Prowlers",2
golf,Miami,real,yes,clutch,Serena Williams,"Miami Fairway Fighters
Clutch City Chipsters
Serena's Swing Set
Miami Birdie Bandits
Teal Turf Titans",1
volleyball,Chicago,real,no,steel,Tiger Woods,"Chicago Spiked Punchers
Steel City Slammers
Tiger's Ass Whackers
Windy City Wet Slappers
Chicago Diggin' Balls",3
golf,none,real,no,fire,Tom Brady,"Fireball Flingers
Brady's Birdies
The Green Jacketed Jokers
Tee Baggers United
Tom's Turf Terrors",2
